

Results for corner tt
[['0', 'time', 'time'], ['1', 'v(clk)', 'voltage'], ['2', 'v(comp_out)', 'voltage'], ['3', 'v(inn)', 'voltage'], ['4', 'v(inp)', 'voltage'], ['5', 'v(temperat)', 'voltage'], ['6', 'v(vdd)', 'voltage'], ['7', 'i(vvdd)', 'current']]
-1.1, 1.3, 1.8, 2.5e-07, 2.5e-07, 0, OK
-14, 0.53, 1.8, 2.5e-07, 3e-07, 4.8e-08, Failed
79, 0.65, 1.8, 2.5e-07, 2.6e-07, 6.7e-09, OK
43, 0.44, 1.8, 2.5e-07, 4e-07, 1.6e-07, Failed
66, 1.3, 1.8, 2.5e-07, 2.5e-07, 0, OK
77, 0.79, 1.8, 2.5e-07, 2.6e-07, 8.7e-09, OK
61, 1.1, 1.9, 2.5e-07, 2.5e-07, 0, OK
30, 1, 1.8, 2.6e-07, 2.6e-07, 5.8e-09, OK
28, 1.3, 1.9, 2.6e-07, 2.6e-07, 0, OK
56, 1.3, 1.8, 2.5e-07, 2.5e-07, 0, OK
66, 0.97, 1.8, 2.6e-07, 2.6e-07, 0, OK
17, 0.61, 1.8, 2.5e-07, 2.6e-07, 8.4e-09, OK
-8, 1.3, 1.8, 2.6e-07, 2.6e-07, 0, OK
18, 0.86, 1.8, 2.5e-07, 2.6e-07, 6.5e-09, OK
24, 0.97, 1.8, 2.6e-07, 2.6e-07, 9.5e-10, OK
2.9, 0.87, 1.8, 2.6e-07, 2.6e-07, 5.4e-09, OK
59, 1, 1.8, 2.5e-07, 2.6e-07, 1.1e-08, OK
50, 1.1, 1.9, 2.5e-07, 2.5e-07, 0, OK
43, 0.41, 1.7, 2.6e-07, 5e-07, 2.4e-07, Failed
61, 1.2, 1.8, 2.5e-07, 2.5e-07, 0, OK
65, 1.2, 1.7, 2.5e-07, 2.5e-07, 0, OK
35, 1.4, 1.8, 2.5e-07, 2.5e-07, 0, OK
46, -0.0082, 1.8, 2.5e-07, 1e-12, -2.5e-07, Failed
9.4, 0.75, 1.8, 2.6e-07, 2.6e-07, 3.6e-09, OK
55, 0.46, 1.8, 2.6e-07, 3.4e-07, 8.5e-08, Failed
-54, 0.83, 1.8, 2.5e-07, 2.6e-07, 1.1e-08, OK
77, 0.53, 1.8, 2.7e-07, 2.8e-07, 1.5e-08, OK
